"Title","Type","Description"
"Nasza planeta","Dokument","Ten ośmioodcinkowy serial twórców wielokrotnie nagradzanego programu Planeta Ziemia opowiada o wyjątkowych cudach natury. W nakręconej we współpracy ze Światowym Funduszem na rzecz Przyrody Naszej planecie możemy, dzięki najnowszej technice, po raz pierwszy podziwiać zapierające dech w piersiach ujęcia dziewiczych zakątków Ziemi i żyjących tam zwierząt. Zdjęcia do tego ambitnego projektu kręcono przez 4 lata w 50 krajach na wszystkich kontynentach, gdzie ponad 600 członków ekipy wspólnie nagrało materiał o długości ponad trzech i pół tysiąca dni zdjęciowych. Serial będzie poświęcony niezwykłej różnorodności siedlisk przyrodniczych na całym świecie, od odległego arktycznego pustkowia i tajemniczych głębi oceanów aż po rozległe krajobrazy Afryki i tętniące życiem dżungle Ameryki Południowej."
"Projekt niewinność","Dokument","Projekt Niewinność rzuca nowe światło na nieznane osobiste historie związane z ośmioma niesłusznymi wyrokami skazującymi odkrytymi przez organizację non-profit The Innocence Project i inne organizacje należące do grupy The Innocence Network oraz wysiłki tych organizacji prowadzące do ich unieważnienia. Na serial składa się dziewięć odcinków podzielonych na trzy części koncentrujące się na dowodach, świadkach i oskarżeniu. Przedstawione w nim historie ujawniają wady amerykańskiego wymiaru sprawiedliwości oraz pokazują, że skazanie niewinnej osoby nie tylko niszczy na zawsze jej życie, ale ma też nieodwracalne konsekwencje dla jej rodziny i ofiary przestępstwa, nie wspominając nawet o utracie zaufania do systemu."
"Rozmowy z mordercą: Taśmy Teda Bundy’ego","Dokument","Rozmowy z mordercą: Taśmy Teda Bundy’ego to niezwykły, przejmujący serial dokumentalny, który pozwala po raz pierwszy zajrzeć w zakamarki umysłu seryjnego mordercy Teda Bundy’ego. Z niepublikowanych dotąd rozmów z „amerykańskim Kubą Rozpruwaczem” wyłania się przerażający obraz człowieka, którego osobowość, wygląd i dobre maniery przeczyły stereotypowemu wizerunkowi groźnego przestępcy. Dzięki tym przymiotom Ted Bundy mógł przez lata swobodnie oddawać się swojemu odrażającemu procederowi. Do 1978 r., gdy został ostatecznie schwytany, ofiarą popełnionych przez niego okrutnych morderstw na tle seksualnym padło ponad 30 kobiet. Podczas procesu Bundy z łatwością podbił serca Amerykanek, co dodatkowo sprawia, że jego czyny nawet dziś, gdy zdaje się nam, że nic nie może nas już zaskoczyć, przyprawiają o dreszcze."
"Prop Culture","Dokument","Gospodarzem serii jest Dan Lanigan, który zbiera rekwizyty z filmów i seriali od ponad 20 lat. Prop Culture da fanom rzadkie spojrzenie do skarbca archiwów Walta Disneya. Podczas kolejnych epizodów zobaczymy wywiady z aktorami, scenografami, kostiumografami i innymi kolekcjonerami."
"Osądzeni przez media","Dokument","W rzeczywistości medialnej naszych czasów prawdziwe dramaty z sali sądowej coraz częściej stanowią formę rozrywki. Serial dokumentalny Netflix „Osądzeni przez media” rzuca światło na najbardziej wstrząsające sprawy ostatnich lat, które zapadły głęboko w pamięć opinii publicznej. Od momentu wprowadzenia transmisji telewizyjnych z rozpraw sądowych coraz bardziej liczy się kreatywne opowiadanie historii i prezentacja. Nic nie jest już takie jak dawniej. W sześciu odcinkach autorzy serialu dokumentalnego „Osądzeni przez media” badają wpływ prasy na zmianę opinii publicznej na temat winy lub niewinności przed procesem, w jego trakcie i po zakończeniu rozpraw. Zaprezentowano w nich sprawy związane z różnymi dziedzinami prawa, np. głośny proces w sprawie morderstwa zainspirowanego programem Jenny Jones, sensacyjną historię politycznego upadku Roda Blagojevicha i sprawę Amadou Diallo, nieuzbrojonego imigranta z Afryki, w którego kierunku nowojorska policja oddała 41 strzałów."
"Patologie medycyny sądowej","Dokument","Serial dokumentalny opowiadający o niewinnych ludziach skazanych w oparciu o dane uzyskane dzięki budzącym wątpliwości technikom kryminalistycznym."
"Formula 1: Jazda o życie","Dokument","Kierowcy, menedżerowie i właściciele zespołów żyją w pośpiechu, zarówno na torze, jak i poza nim. Zobacz, jak wygląda sezon zażartej rywalizacji w Formule 1."
"Najważniejsze wydarzenia II wojny światowej w kolorze","Dokument","Brytyjski serial dokumentalny wykorzystujący archiwalne koloryzowane nagrania z czasów II wojny światowej i omawiający najistotniejsze wydarzenia największego w dziejach konfliktu zbrojnego trwającego w latach 1939-1945. Teatr działań wojennych objął prawie całą Europę, północną Afrykę, południowo-wschodnią Azję oraz część Bliskiego Wschodu i pochłonął kilkadziesiąt milionów ofiar."
"Zaginięcie Madeleine McCann","Dokument","Rodzice rozpaczają po zniknięciu córki. Sytuację pogarszają detektyw, który uważa, że mieli w tym swój udział, oraz ferujące szybkie wyroki media."
"W trasie z Aspergerem","Dokument","Czwórka przyjaciół z syndromem Aspergera założyła zespół komediowy i postanowiła wyruszyć w ambitną trasę. Noah, New Michael, Ethan oraz Jack wybierają się w sześciotygodniową podróż z Bostonu do Los Angeles. Przemierzając kilometry starym kamperem, młodzi mężczyźni przeżywają liczne wzloty i upadki. Po drodze dzielą się swoją unikatową perspektywą dotyczącą życia z zespołem Aspergera i poczuciem wspólnoty, jakie znaleźli dzięki swojemu projektowi."
"Naprzód","Fantasy","Naprzód opowie nam historię dwóch nastoletnich braci będących elfami, którzy opuszczają swoją bezpieczną, magiczną krainę i wyruszają na wielką wyprawę. Marzą o przeżyciu wielkiej przygody, a przy okazji chcą sprawdzić, czy na świecie pozostała jeszcze chodź odrobina magii, bowiem w ich świecie została ona zatracona poprzez dostęp do nowoczesnych technologii."
"SpongeBob Film: Na ratunek","Fantasy","Zmiany, zmiany, zmiany. W świecie SpongeBoba Kanciastoportego czas na wielkie zmiany. Musiał pożegnać się ze swym ukochanym Bikini Dolnym, w którym spędził tyle lat. No, ale nie miał wyboru. Musiał wyruszyć na ratunek Gacusiowi, swemu ukochanemu przyjacielowi."
"The Mandalorian","Fantasy","Akcja serialu The Mandalorian rozgrywa się po upadku Imperium i przed powstaniem Najwyższego Porządku. Podążamy za samotnym strzelcem w odległych zakątkach galaktyki, daleko od autorytetu Nowej Republiki. Jest on łowcą nagród zatrudnionym przez Greefa do wykonania określonego zadania."
"The Umbrella Academy","Fantasy","Tego samego dnia 1989 roku niezwiązanym ze sobą w żaden sposób kobietom rodzi się czterdzieścioro troje dzieci. Nie byłoby w tym nic dziwnego, gdyby nie fakt, że żadna z nich nie była wcześniej w ciąży. Siedmioro dzieci adoptuje przemysłowiec-miliarder sir Reginald Hargreeve, który postanawia przygotować je do misji ocalenia świata. Jednak nie wszystko poszło zgodnie z planem. Gdy dzieci weszły w wiek nastoletni, rodzinne więzy osłabły, a każdy z członków drużyny poszedł w swoją stronę. Teraz sześcioro ocalałych ponownie nawiązuje ze sobą kontakt na wieść o śmierci Hargreeve’a. Luther, Diego, Allison, Klaus, Vanya i Numer Pięć wspólnie próbują rozwikłać tajemnicę śmierci swojego ojca. Ze względu na dzielące ich różnice osobowościowe i mocno odmienne umiejętności, a także mroczne widmo globalnej apokalipsy, członkowie rodziny znów zaczną się jednak od siebie oddalać."
"Czerwień rubinu","Fantasy","16-letnia Gwendolyn Shepherd jest zwyczajną dziewczyną, jak rówieśnice na całym świecie. Nastolatka pochodzi jednak z nietypowej rodziny, w której co pewien czas jest przekazywany specjalny gen, umożliwiający podróże w czasie. Taki osobnik jest od dziecka przygotowywany do przenoszenia się w czasoprzestrzeni. Wszyscy są przekonani, że takim właśnie genem została obdarzona Charlotte, kuzynka Gwen, która jest oczkiem w głowie całej rodziny. Jej niezwykłe zdolności powinny ujawnić się wkrótce, więc ona i jej bliscy z niecierpliwością czekają na tę ważną chwilę. Ale wszystko się zmienia, gdy pewnego dnia to Gwen przenosi się w czasie. Niespodziewanie trafia do XIX-wiecznego Londynu. Nastolatka uświadamia sobie, że to ona, a nie Charlotte, urodziła się z genem, umożliwiającym przemieszczanie się w czasie. Teraz będzie musiała zmierzyć się z różnymi problemami. Przede wszystkim musi udawać dobre relacje z aroganckim chłopakiem Charlotte, Gideonem de Villiersem, by wreszcie odkręcić, ciążący na jej rodzinie największy sekret. Jedną jest pewne Gwen zrobi wszystko, co w jej mocy, by rozwikłać zagadkę z przeszłości. Okazuje się, że matka dziewczyny sfałszowała jej datę urodzin. Pragnęła w ten sposób uchronić córkę przed umiejętnością podróży w czasie. Ale wbrew pozorom Gwen wcale nie jest zwyczajną nastolatką, potrafi znacznie więcej niż jej rówieśnice. Ale czy podróżując w czasie można się zakochać w kimś z innego wymiaru?"
"List do króla","Fantasy","Głównym bohaterem jest 16-letni chłopiec – Tiuri, który niebawem ma zostać pasowany na rycerza. Jednak noc przed tym ważnym wydarzeniem zmieni jego życie na zawsze. Od tajemniczego mężczyzny otrzymuje ważny list, który dostarczyć ma jak najszybciej do króla. Aby wykonać misję wyrusza w pełną niebezpieczeństw podróż, podczas której odkryje istnienie magicznej przepowiedni zapowiadającej przyjście bohatera, który może pokonać złego księcia i przywrócić pokój. Tiuri musi szybko stać się prawdziwym rycerzem, a także i przywódcą."
"Lucyfer","Fantasy","Lucifer Morningstar porzuca piekło i postanawia rozpocząć nowe życie w Los Angeles, gdzie prowadzi luksusowy piano bar. Poznaje tam detektyw Chloe Decker, której nieoficjalnie pomaga rozwiązywać kolejne zagadki kryminalne. Wykorzystuje przy tym swoją nieśmiertelność oraz inne nadprzyrodzone talenty. Fascynacja Lucyfera piękną policjantką niepokoi jego przyjaciółkę Maze, demona w ciele młodej kobiety, która przybyła na Ziemię razem z Królem Ciemności."
"Czarny Księżyc","Fantasy","Włochy, XVII wiek. Nastoletnia położna dowiaduje się, że wywodzi się z rodu czarownic. Niestety ojciec jej chłopaka poluje na takie jak ona."
"Jumanji: Następny poziom","Fantasy","Spencer rozczarowany swym studenckim życiem i nieudanym związkiem na odległość, postanawia ponownie stać się dr. Bravestonem. Uruchamia więc niebezpieczną grę jeszcze raz."
"Jeffrey Epstein: Obrzydliwie bogaty","Dokument","Serial dokumentalny przybliżający historie ofiar Jeffreya Epsteina i pokazujący, jak ten przestępca seksualny używał fortuny i wpływów w swojej potwornej działalności."
"Making a Murderer","Dokument","Kręcony przez 10 lat, trzymający w napięciu dokument śledzi losy oczyszczonego z zarzutów o gwałt Stevena Avery’ego, który staje się podejrzanym w kolejnej zbrodni."
"Niemowlęta","Dokument","„Niemowlęta” to fascynujący serial dokumentalny, którego nakręcenie zajęło trzy lata. Przygląda się on cudowi pierwszego pełnego roku życia dziecka przez pryzmat pionierskich odkryć czołowych naukowców z całego świata. Serial bada epicką podróż, którą pokonuje każdy człowiek od bezbronnego niemowlęcia do niezależnego jednolatka. Pokazuje, jak narodziny dziecka odmieniły życie 15 rodzin , oraz przedstawia wnioski płynące z najnowszych badań poważanych naukowców, którzy opowiadają o swoich osobistych drogach do odkrycia tajemnic niemowlęcego umysłu. Ten wypełniony emocjonującą niepewnością rodzicielstwa serial bada każdy kamień milowy w rozwoju niemowlęcia: od pierwszej więzi noworodka z rodzicami, nauki karmienia, spania w nocy, raczkowania po pokoju, wymawiania pierwszych słów i odkrywania otaczającego świata, aż do wkroczenia w okres poniemowlęcy. W ciągu ostatnich 15 lat dokonano przełomowych odkryć na temat funkcjonowania mózgu niemowlęcia. Okazuje się, że nawet noworodki wiedzą, widzą i rozumieją o wiele więcej, niż wydawało się to możliwe."
"Chef's Table","Dokument","Nominowany do nagrody Emmy serial dokumentalny przybliża pracę i filozofię światowych gwiazd sztuki kulinarnej, które na nowo definiują pojęcie wykwintnej kuchni."
"Ostatni carowie","Dokument","Początek XX wieku w Rosji. W społeczeństwie narasta atmosfera buntu. Car Mikołaj II opiera się jednak zmianom, co doprowadza do wybuchu rewolucji i końca jego dynastii."
"Zabójcza oglądalność","Dokument","Wallace Souza - brazylijski polityk i osobowość telewizyjna - zostaje oskarżony o to, że stoi za brutalnymi zbrodniami, o których sam donosi i z którymi walczy."
"Morderstwa w Alcàsser","Dokument","Morderstwo 3 nastolatek w 1992 r. wywarło wielki wpływ na całą Hiszpanię. Teraz nowe rozmowy i nowoczesna analiza dowodów pozwalają rzucić na tę sprawę więcej światła."
"Pyszne tradycje","Dokument","Odkryj smakowity świat kuchni z regionu Chaoshan, poznaj jej niezwykłe składniki i posłuchaj opowieści ludzi, którzy są jej mistrzami."
"Absurdalna planeta","Dokument","W tym zabawnym naukowym serialu występuje grupa dziwacznych stworzonek i sama Matka Natura, która podgląda życie najdziwniejszych zwierząt na Ziemi."
"Pierwszy zespół: Juventus FC","Dokument","Dołącz do zawodników słynnego Juventusu i obserwuj ich batalię o siódme z rzędu mistrzostwo Włoch i triumf w Lidze Mistrzów."
"Bayala i ostatni smok","Fantasy","Przez stulecia czarodziejska kraina Bayala była szczęśliwym domem dla elfów i wróżek. Wszystko zmieniło się, gdy podstępna królowa Ophira porwała i uwięziła smoki – źródło życiodajnej, magicznej mocy. Na szczęście nie wszystko jest jeszcze stracone. Nadzieja na ocalenie pojawia się, gdy odnalezione zostaje ostatnie smocze jajo, a wraz z nim szansa na to, że magia może powrócić. Jest tylko jeden warunek! Pierwszą rzeczą jaką musi zobaczyć wyklute pisklę, są jego rodzice. Aby do tego doszło, siostry Surah, Sera i przyjaciele wyruszają w pełną przygód i niebezpieczeństw podróż. Zrobią wszystko, by połączyć młodego smoka z rodzicami, zjednoczyć zwaśnione plemiona elfów i przywrócić wieczną magię do Bayala."
"Chambers","Fantasy","Młoda kobieta zgłębia tajemnice otaczające dawcę serca, które uratowało jej życie. Jednak im bliżej do odkrycia prawdy o nagłej śmierci jej dawcy, tym bardziej zaczyna przejmować niepokojące cechy zmarłego."
"Locke & Key","Fantasy","Trójka rodzeństwa Locke razem z matką przeprowadzają się do rodzinnego domu, Keyhouse, pełnego magicznych kluczy, które mogą być powiązane z tajemniczym morderstwem ojca. Gdy tylko rodzina zaczyna odkrywać kolejne klucze i ich unikalne moce, budzi się tajemniczy demon, który nie powstrzyma się przed ich kradzieżą."
"Mroczne materie","Fantasy","Lyra (Dafne Keen) jest z pozoru zwyczajną dziewczyną. Kiedy znika jej najlepszy przyjaciel, decyduje się ruszyć mu na pomoc, odkrywając przy tym groźny spisek, który dotyczy porwanych dzieci. Lyra podejmuje też próbę zrozumienia tajemniczego zjawiska zwanego Pyłem. Podczas podróży przez przeróżne światy, bohaterka spotyka zdeterminowanego i odważnego chłopca o imieniu Will (Amir Wilson). Razem spotykają na swojej drodze niezwykłe istoty i poznają niebezpieczne sekrety, a los żywych – jak i umarłych – zdaje się być w ich rękach."
"Strefa mroku","Fantasy","Strefa mroku to zaktualizowana wersja kultowego serialu z lat 60. poprzedniego wieku. Serial zabiera widzów w podróż do cudownej krainy wyobraźni w innym wymiarze, w której eksplorujemy ludzkie uczucia takie jak nadzieja, rozpacz, duma i uprzedzenie."
"Carnival Row","Fantasy","Przy Carnival Row grasuje seryjny morderca, a rządzący bagatelizują brutalne zabójstwa dokonywane na przedstawicielach niższych klas. Rycroft Philostrate, zahartowany w czasie wojny detektyw, jako jedyny postanawia powstrzymać zabójcę i utrzymać niepewny pokój. Tymczasem w Burgue zjawia się uchodźczyni Vignette Stonemoss, która zmusi Philo do zmierzenia się z demonami przeszłości."
"Ciemny kryształ: Czas buntu","Fantasy","Ciemny kryształ: Czas buntu zabiera widzów z powrotem na planetę Thra, gdzie czekają całkiem nowe przygody. Odkrywszy przerażającą tajemnicę mocy Skeksisów, trójka Gelflingów wyrusza w epicką podróż, aby wzniecić powstanie i ocalić świat przed zagładą."
"Undone","Fantasy","W półgodzinnych odcinkach łączącego różne gatunki serialu UNDONE śledzimy losy Almy, dwudziestoośmiolatki z San Antonio, która zgłębia elastyczną naturę rzeczywistości. Po niemal śmiertelnym wypadku samochodowym Alma odkrywa, że potrafi wpływać na bieg czasu. Rozwija nowe umiejętności, aby dotrzeć do prawdy o śmierci swego ojca."
"Ciekawy przypadek Benjamina Buttona","Fantasy","Historia człowieka, który zamiast starzeć się – młodnieje."
"Daybreak","Fantasy","Kalifornijskie miasteczko Glendale zamieszkują grasujące w okolicy gangi osiłków, grupy gamerów, członkowie Klubu 4-H i inne przerażające plemiona, które walczą o przetrwanie u progu katastrofy nuklearnej. Daybreak to opowieść o losach eklektycznej grupy ocalonych w tej dziwnej, zdradzieckiej rzeczywistości."
"Uliczne jedzenie","Dokument","Wyrusz w podróż dookoła świata, której główną atrakcją jest uliczne jedzenie, i poznaj historie przyrządzających je osób."
"Filmy naszej młodości","Dokument","Te kinowe hity łączą ludzi i dostarczają im wspaniałych wspomnień. Poznajcie aktorów, reżyserów i pracowników świata filmu, którzy powołali je do życia."
"Kevin Hart: Don’t F**k This Up","Dokument","Gwiazda komedii Kevin Hart dokumentuje wyboje swojej kariery i małżeństwa, zdradzając, co kryje się za kulisami sławy."
"Steven Seagal: Stróż prawa","Dokument","Gwiazda kina akcji ubiegłego wieku, Steven Seagal po raz kolejny w roli stróża prawa, tym razem jednak naprawdę. Aktor jest głównym bohaterem reality show, który pokazuję pracę pracowników biura szeryfa Jefferson Parish County w Luizjanie. Seagal jest zastępcą szeryfa a z samym biurem jest związany od 20 lat."
"Ostatni taniec","Dokument","Jesienią 1997 r. Michael Jordan i Chicago Bulls stanęli do walki o szósty w ciągu minionych ośmiu lat tytuł mistrza NBA. Niezależnie od zupełnie wyjątkowych osiągnięć Jordana na przestrzeni 13 lat od jego sensacyjnego debiutu „ostatni taniec” — które to określenie spopularyzował trener Phil Jackson — będzie się odbywał w cieniu napięć z kierownictwem klubu i przemożnego poczucia, że to naprawdę ostatnia okazja, aby zobaczyć w pełnej krasie największego koszykarza wszech czasów i jego niezwykłych kolegów z drużyny."
"Kult. Film","Dokument","Film dokumentalny zawierający wyjątkowe i nigdzie niepublikowane materiały zakulisowe z życia legendarnego zespołu KULT oraz samego Kazika Staszewskiego. Prawdziwy, emocjonujący i wyczekiwany film o ludziach, bez których polska scena muzyczna nie mogłaby istnieć. Kamera towarzyszyła muzykom podczas trasy koncertowej oraz w życiu codziennym, pokazując fenomen i grupy i jej zupełnie niespotykanej nigdzie indziej więzi z fanami."
"Seks według nowoczesnej dziewczyny","Dokument","Program dokumentalny skupiający się na seksie w każdym wydaniu. Poznamy większość pozycji, techniki masażu i masturbacji, przyrządy i akcesoria do potęgowania doznań, operacje narządów płciowych aż po przemoc i dominację."
"Najwspanialsze trasy motocyklowe na świecie","Dokument","Henry Col jeździ motocyklem po całym globie, aby znaleźć najpiękniejszą trasę na świecie."
"Cesarstwo Rzymskie","Dokument","Stylowe połączenie filmu dokumentalnego i epopei historycznej. Produkcja przedstawia rządy cesarza Kommodusa, wraz z którymi rozpoczął się upadek Rzymu."
"Abstrakt: Sztuka designu","Dokument","Producent wykonawczy Morgan Neville przedstawia Abstrakt, nowy serial dokumentalny Netflix, który przekracza granice projektów komputerowych, ukazując sztukę i naukę designu na przykładzie sylwetek wybitnych projektantów z różnorodnych dyscyplin, których dzieła kształtują nasz świat. Zajrzyj w zakamarki umysłów najlepszych projektantów na świecie."
"Amerykańscy bogowie","Fantasy","Po wyjściu z więzienia były skazaniec Cień poznaje tajemniczego mężczyznę - Wednesdaya, który wie zaskakująco dużo na temat przeszłości Cienia."
"Outlander","Fantasy","Po zakończeniu II wojny światowej zamężna, brytyjska pielęgniarka przenosi się w czasie do XVIII wiecznej Szkocji, gdzie zakochuje się w szkockim wojowniku."
"Asterix na olimpiadzie","Fantasy","Tym razem Asterix i Obelix biorą udział w Igrzyskach Olimpijskich. W czasie zmagań sportowych zmierzą się z najlepszymi sportowcami Imperium Rzymskiego, pomagając swojemu przyjacielowi, Romantixowi, w zdobyciu ręki Iriny, pięknej greckiej księżniczki. Ich głównym przeciwnikiem jest podstępny Brutus, przybrany syn Cezara, który w czasie Igrzysk, oprócz ręki księżniczki, chce osiągnąć jeszcze jeden cel. A jego intryga nie ma nic wspólnego ze szlachetną ideą olimpijską."
"Był sobie pies 2","Fantasy","Wszystkie psy doskonale wiedzą, że życie ma sens tylko u boku ukochanego pana lub pani. Ale czasem trzeba się nieźle nabiegać, żeby za nimi nadążyć. Bailey dostaje od swojego ukochanego Ethana nowy cel: ma opiekować się jego wnuczką – CJ. Dopóki dziewczynka jest mała, zadanie jest dość proste, choć czasem trzeba ochronić ją własnym ciałem przed rozbrykanym koniem. Z biegiem czasu CJ dorasta i wyzwania dla Baileya też stają się coraz większe, tym bardziej, że dziewczynka wyjeżdża z matką do wielkiego miasta i traci kontakt z dziadkami. Na szczęście Bailey przeżył już wiele żyć i sporo się o ludziach nauczył. Tym razem będzie musiał pomóc swojej ukochanej pani odnaleźć prawdziwą miłość, zrealizować marzenia i przede wszystkim pogodzić skłóconą rodzinę. Czasem będzie musiał odejść, by zaraz znów powrócić w nowym wcieleniu, raz nawet jako suczka. Bo jedno wie na pewno: życie jest na tyle pomerdane, że zawsze warto trzymać się razem."
"Vampires","Fantasy","Nastoletnia półwampirzyca z Paryża próbuje zapanować nad nowo odkrytymi mocami i kryzysem rodzinnym. Jakby tego było mało, ściga ją też tajna wampirza organizacja."
"Titans","Fantasy","Drużyna młodych Superbohaterów, którymi dowodzi Nightwing, stara się zwalczać zło oraz pomagać bezbronnym."
"Wieczna wiedźma","Fantasy","Carmen to niewolnica i wiedźma. Ma 19 lat i właśnie ma spłonąć na stosie za zbrodnię, której nie da się odkupić — miłość do białego mężczyzny. Jedyny ratunek w starym czarodzieju, który składa jej niezwykłą ofertę: Carmen może przeskoczyć w czasie do miejsca, w którym nikt nie wierzy w wiedźmy. Jest tylko jedno „ale” — musi obiecać, że zrezygnuje z używania swoich mocy. Dziewczyna przystaje na tę propozycję i trafia do współczesnej Kolumbii, gdzie zaczyna nowe życie: zdobywa przyjaciół, a nawet idzie do szkoły. Ale wiedźmą się jest, a nie bywa…"
"The Order","Fantasy","Świeżo upieczony student Jack Morton dołącza do tajnego stowarzyszenia i wpada w sidła mrocznego półświatka, w którym wilkołaki walczą z mistrzami czarnej magii."
"Kraina Lovecrafta","Fantasy","Produkcja śledzi losy Atticusa Freemana (Jonathan Majors), który dołącza do swojej przyjaciółki Letitii (Jurnee Smollett-Bell) oraz wuja George'a (Courtney B. Vance) i razem z nimi wyrusza w podróż przez Amerykę lat 50-tych, aby odnaleźć zaginionego ojca (Michael Kenneth Williams). Tak zaczyna się walka o przetrwanie i przezwyciężenie rasistowskiego terroru białej Ameryki oraz przerażających potworów rodem z powieści Lovecrafta."
"Yakusoku no Neverland","Fantasy","Grace Field House to sierociniec pełen dzieciaków, otoczony murami od zewnętrznego świata. Trójka podopiecznych odkrywa wstrząsającą prawdę o miejscu, w którym dorastają, a to jeszcze nie koniec niespodzianek, które spotkają na swojej drodze…"
"Pierwszy i ostatni","Dokument","Zajrzyj do więzienia w Gwinnett i zobacz, ile emocji przynoszą pierwszy dzień za kratami i ostatni dzień przed wyjściem na wolność."
"Chłopaki do wzięcia","Dokument","Młodzi mieszkańcy małych miasteczek i wsi poszukują partnerek na całe życie. Są w trudnej sytuacji, bo większość dziewczyn, które znali ze szkół, wyjechały do pracy do większych miast. One już nie wrócą, zostały ""miastowe"". Chłopcy zostali sami, pracują dorywczo, ""bez zarejestrowania"". W soboty i niedziele spotykają się przed sklepami na wsiach, krążą po rynku małego miasteczka lub wystają na dworcach autobusowych. Prowincjonalna Polska utkana jest z biedy, nudy i beznadziei. Chłopcy kandydatek na żony poszukują dyskretnie, aby nie narazić się na śmieszność czy wykpienie. Jeżdżą zdezelowanymi samochodami, ubierają się w tanich sklepach lub na targach. Na ogół są bez grosza i nie mają pomysłu na lepsze życie. Czym więc mogą zaimponować dziewczynom? Niektórzy w pełnej dyskrecji piszą do biur matrymonialnych. Trzeba jednak wielkiej odwagi i desperacji, by udać się na takie, zaaranżowane spotkanie."
"Sensacje XX wieku","Dokument","Serial opowiadający o najważniejszych postaciach i wydarzeniach II wojny światowej, od Lisa Pustyni po brutalną walkę o władzę, która nastąpiła po śmierci Stalina."
"Niewinny człowiek","Dokument","Adaptacja jedynego dzieła non-fiction w dorobku Johna Grishama o sprawie dwóch morderstw popełnionych w Oklahomie w latach 80. XX wieku."
"Złoty dotyk Nathana","Dokument","Nathan Fielder używa swojego wykształcenia ekonomicznego i doświadczenia zawodowego, aby pomóc małym przedsiębiorcom w uzyskaniu lepszych wyników finansowych."
"Last Chance U","Dokument","Utalentowani gracze futbolowi z problemami szkolnymi i osobistymi walczą o sukcesy w sporcie i nauce na uczelni East Mississippi Community College."
"Mars","Dokument","Czy Mars stanie się dla nas drugim domem? Jak kolonizację Marsa widzą najwięksi wizjonerzy ze świata nauki i biznesu? Sześcioodcinkowa seria fabularno-dokumentalna „MARS” opowiada fascynującą historię podboju kosmosu, kreśląc obraz pierwszej próby kolonizacji Czerwonej Planety."
"Stereotypy","Dokument","Knackeboul, Szwajcar będący raperem i beatboxerem, w czasie podróży po Europie weryfikuje prawdziwość stereotypów o mieszkańcach odwiedzanych państw."
